"question","answers"
"Mỗi pin nhiên liệu PureCell Model 400 dự kiến ​​sẽ tiết kiệm được bao nhiêu cho thành phố New Haven về chi phí năng lượng trong suốt một thập kỷ?","1 triệu đô la"
"Ai đã lãnh đạo Quân đội Serbia tại Trận chiến Kosovo?","Lazar Hrebljevanovic"
"Ai cho rằng một vật thể tồn tại xuyên thời gian là để nó tồn tại hoàn toàn ở những thời điểm khác nhau?","endurantist"
"Ai đã tạo ra mandolin rasonator?","Luthiers"
"Khi nào FBI bắt đầu điều tra gián điệp?","1940"
"Những nghệ sĩ mà Kanye trước đây sản xuất cho anh ấy đã tiếp tục hợp tác với ai?","Jay-Z"
"Nhà sử học của nền văn minh Hegeleque là ai?","Arnold J. Toynbee"
"Có bao nhiêu loài cá nước ngọt có thể được tìm thấy ở Bồ Đào Nha?","hơn 100"
"Nhân vật nào bảo vệ New York vào tháng 1 năm 2016?","Donald Trump"
"Samuelson đã trích dẫn tác phẩm nào của Hayek là không chính xác về kinh tế vĩ mô?","Giá và Sản xuất"
"Thuật ngữ nào mô tả tình trạng của các chi nhánh chính phủ khác nhau ở Maryland, Virginia, Bắc Carolina và Georgia?","riêng biệt và khác biệt"
"Loại thông báo nào phải có vấn đề về bản quyền khi cố gắng gỡ bỏ nội dung?","DMCA"
"Chi phí gần đúng để xây dựng Cáp treo Emirates Airline là bao nhiêu?","£ 60"
"Phiên bản rẻ hơn của Macintosh SE được cung cấp cho đến năm 2001 là gì?","Macintosh Classic"
"Giai đoạn đầu chiến đấu kéo dài bao lâu?","khoảng ba tuần"
"Tại sao các biên tập viên chỉ muốn hai nhánh thay thế khi phân tích một văn bản?","điều này sẽ tối đa hoá cơ hội cho phán quyết biên tập"
"Cái nào được đặt chính xác hơn, đường viền TX / NM hoặc đường viền OK / NM?","biên giới Oklahoma / New Mexico"
"Bởi vì tiếng Hà Lan có nhiều nguyên âm và từ ghép, điều gì xảy ra thường xuyên trong chính tả tiếng Hà Lan?","chữ cái nhân đôi"
"Mức trung vị để đo tiếng ồn khí quyển là gì?","sàn tiếng ồn nhiệt"
"Trước cơn bão Đại Tây Dương, lối đi bộ kéo dài từ thành phố Atlantic đến thành phố nào khác?","Longport"
"Toà án tối cao của Israel đã sử dụng phương pháp nội bộ nào để xem xét các quyết định của chính mình?","một hội đồng gồm ba thẩm phán trở lên"
"Các đội cho môn thể thao nào có thể được tìm thấy tụ tập tại các quán rượu?","phi tiêu"
"Vật liệu nào có tỷ lệ hấp thụ chỉ 0,01%?","Teflon"
"Các loài thường thấy nhất là gì?","sóc xám"
"Fort Bliss nằm ở những tiểu bang nào?","New Mexico và Texas"
"Vũ trụ của Leibniz nằm ở đâu?","không gian tuyệt đối"
"Ứng cử viên nào của đảng đã bị sát hại trong cuộc bầu cử ngày 30 tháng 9?","Mặt trận phổ biến"
"Cùng với việc miễn phí và cung cấp kết nối liên tục, PS Network còn cung cấp cho người dùng tính năng nào khác?","hỗ trợ nhiều người chơi"
"Những số liệu thống kê được tranh luận vì những cách khác nhau lực lượng cảnh sát ghi lại tội phạm?","thống kê tội phạm so sánh"
"Tại sao doanh số của Power Mac G4 Cube chậm?","quá đắt"
"Tên của một trong những dàn nhạc chính của Thành phố Mexico là gì?","Dàn nhạc Giao hưởng Quốc gia"
"Điều gì cung cấp cơ hội cho nghiên cứu so sánh với một loạt các đối tượng?","Phật giáo"
"Có bao nhiêu hành khách sử dụng sân bay quốc tế Miami hàng năm?","35 triệu hành khách"
"Thành viên câu lạc bộ trong 2003-2004 là gì?","100"
"Điều gì là quan trọng để hiểu?","""trí tuệ tích cực"""
"Trong thời bình, số lính Pháp gần đúng là bao nhiêu?","400"
"Bộ lạc Celtic đã làm gì?","muối"
"Đảo nào đã bị Quân đội thứ tám xâm chiếm vào ngày 28 tháng 2?","Palawan"
"Những gì được chuẩn bị trước khi thực hiện cho các nhà điều hành ánh sáng?","tín hiệu ánh sáng"
"Điều gì có thể được xáo trộn xung quanh trong một cuộc khủng hoảng nợ có chủ quyền để giảm thiểu thiệt hại?","tạm thời chuyển tài sản xấu hoặc yếu"
"Captian Mỗi là trọng tâm của lần đầu tiên được ghi nhận trên toàn thế giới .... những gì trong lịch sử?","manhunt"
"Một vấn đề với bài tập chủng tộc là gì?","phụ gia"
"Dân số của thành phố Hyderabad sống trong khu ổ chuột năm 2012 là bao nhiêu?","1,7 triệu"
"Bảng chữ cái Somali được giới thiệu vào tháng nào và năm nào?","tháng 10 năm 1972"
"Ai muốn phát triển Seattle tới 60% vào năm 2040?","Greg Nickels"
"Một ví dụ về một từ mượn tiếng Phạn được sử dụng trong các ngôn ngữ Đông Nam Á là gì?","bhāṣā"
"Việc sử dụng đèn LED thương mại đầu tiên là gì?","thay thế cho đèn chỉ thị sợi đốt và đèn neon"
"Hai nhánh chính của Phật giáo là gì?","Theravada (""Trường học của người lớn tuổi"") và Đại thừa (""Chiếc xe vĩ đại"")"
"Quốc gia nào đã thấy triển khai quân sự Warsaw Pact quan trọng nhất?","Tiệp Khắc"
"Mục đích của lâu đài là gì","Lâu đài Vredenburg được củng cố nghiêm ngặt được xây dựng để chứa một đồn trú lớn với nhiệm vụ chính là duy trì quyền kiểm soát thành phố"
"Ai đã phát biểu tại Công ước Philadelphia về sự hỗn loạn tiềm tàng từ việc không có thẩm phán có thể thực thi luật pháp?","James Wilson"
"Ý nghĩa hoặc thuật ngữ được sử dụng cho Aslace được sử dụng bởi người Anh trong thế kỷ 20 là gì?","thị trường xiêu vẹo"
"Thuật ngữ lâu đời nhất đối với Ai Cập dịch là gì?","""biên giới"" hoặc ""biên cương""."
"Nơi nào chim bồ câu biến mất?","trên đường chân trời"
"Vào năm nào, Otto tôi trở thành Hoàng đế La Mã thần thánh?","962"
"Harper Lee đã bắt đầu công việc gì ở thành phố New York?","nhân viên đặt chỗ"
"Sự từ chối của các nhạc cụ trong âm nhạc Christian có thể bắt nguồn từ đâu?","một cách giải thích lịch sử"
"Công ty nào cung cấp khả năng kết nối với iPod như một tính năng tiêu chuẩn trong ô tô của họ?","Scion"
"Từ hệ thống nào là một thì tương lai thiếu đặc biệt?","hệ thống bằng lời"
"Hệ thống vệ tinh BeiDou được ra mắt cách đây bao lâu?","Mười lăm năm"
"Những tế bào đặc biệt nào trong mắt giao tiếp trực tiếp với các tế bào SCN?","ganglion"
"Trong thời gian nào GE đã gây ô nhiễm sông Hudson bằng PCB?","1947-77"
"Paul VI đã đóng góp bao nhiêu cách cho một cuộc đối thoại đại kết giữa người Công giáo?","hai"
"Dự án Core to Shore được bầu chọn là một phần của chương trình MAPS năm nào?","2009"
"Trung bình một câu lạc bộ Football League nhận được bao nhiêu cho doanh thu truyền hình của họ?","câu lạc bộ Football League Championship trung bình nhận được 2 triệu bảng"
"Khoảng bao nhiêu phần trăm đàn ông châu Âu biết chữ trong 1500?","mười"
"Có bao nhiêu tác phẩm nằm trong bộ sưu tập vĩnh viễn của Bảo tàng Nghệ thuật Bronx?","hơn 800"
"Số tiền tối đa một cuốn sách nhà xuất bản có thể được giảm giá là bao nhiêu?","năm phần trăm"
"Một máy hút bụi thông thường tạo ra đủ lực hút để làm gì với áp suất không khí?","giảm áp suất không khí khoảng 20% ​​"
"Điều gì đã xảy ra với người Hồi giáo trong thời cai trị của La Mã?","di cư hoặc bị trục xuất"
"Mọi người gọi các cuộc đột kích rất trắng trợn như họ đang nói về cái gì?","thời tiết"
"Vedantin có bao nhiêu cách để có được kiến ​​thức?","năm hoặc sáu phương pháp"
"Đèn LED sớm có giá bao nhiêu?","US $ 200 mỗi đơn vị"
"Thay vì đặc thù ngôn ngữ, loại nguyên tắc phân tích âm vị học được thiết kế là gì?","công cụ phân tích chung"
"Một ánh sáng được phân loại theo mục đích dự định, những gì chủ yếu thay đổi phân loại của nó?","do vật cố tạo ra."
"Năm nào Edward III xuất hiện ở Southampton và bảo họ xây tường?","1339"
"Ai đã mất quyền truy cập vào Địa Trung Hải sau nhiều tổn thất của hải quân?","Carthaginians"
"Trường đại học Công giáo nào ở Detroit?","Đại học Detroit Mercy"
"Detroit đã cố gắng tái phát triển khu vực nào?","ven sông"
"Cuộc họp nào đã được tiến hành để thảo luận về các vấn đề của PVA?","Uỷ ban Quân sự,"
"Cờ của Đức quốc xã là của ai?","Thiết kế cá nhân của Hitler"
"Trung tâm Nghiện và Tâm thần chữa lành bệnh gì cùng với hiệp hội Tâm thần Hoa Kỳ về khuynh hướng tình dục?","xu hướng tình dục là bẩm sinh, liên tục hoặc cố định trong suốt cuộc đời của họ đối với một số người, nhưng lại trôi chảy hoặc thay đổi theo thời gian đối với những người khác,"
"Cesar làm maximus vào năm nào?","63 TCN"
"Có bao nhiêu Kitô hữu trên thế giới vào năm 1910?","600 triệu"
"Tại điểm mốc nào mà đám tang bắt đầu?","trụ sở RCC cũ"
"Sự cố nào là yếu tố lớn nhất ảnh hưởng đến nền kinh tế của Bermuda?","suy thoái toàn cầu"
"Câu 2: 111 của Kinh Qur'an ủng hộ khía cạnh nào của tư duy khoa học và thực tiễn?","bằng chứng"
"Ở quốc gia nào người ta ước tính rằng một thợ săn safari chi năm mươi đến một trăm lần những gì một nhà du lịch sinh thái trung bình làm?","Tanzania"
"Một nguồn ngũ cốc phổ biến để sản xuất bia ở Mexico là gì?","agave"
"Tàu sân bay chạy bằng năng lượng hạt nhân của Hạm đội Thái Bình Dương được cho là đóng quân ở đâu?","Vladivostok"
"Thời đại nào văn hoá Myanmar phát triển?","Thời kỳ này được coi là thời kỳ hoàng kim"
"Tác phẩm của Duchamp có bị tranh cãi khi được hiển thị vào năm 1912 không?","gây ra một vụ bê bối"
"Điều gì xảy ra bất cứ khi nào một máy chủ USB được khởi động lại?","quy trình liệt kê được lặp lại cho tất cả các thiết bị được kết nối."
"Thế giới Ả Rập đã phản ứng như thế nào trước tin tức về việc quốc hữu hoá kênh đào Suez?","ủng hộ"
"Mùa xuân Prague là khi nào?","1968"
"Điều gì được sử dụng để giải quyết vấn đề lặp?","một ngôn ngữ hướng theo tập hợp"
"Hoàng đế Haile Selassie đã tìm cách thôn tính vào những năm 1950?","Eritrea và Somaliland của Ý"
"Dân số Melbourne là gì?","4.347.955 tính đến năm 2013"
"Sau khi hoàn thành việc học của mình, dưới sự cai trị của ai, anh ta đã trở thành một giáo sư thông thường?","St. Augustine"
"Khi khách hàng lần đầu thử nghiệm hệ thống của IBM, ngôn ngữ máy tính nào đã được thêm vào?","SQL"
"Ai đã trở thành chủ tịch của Universal Pictures vào tháng 9 năm 2013?","Donna Langley"
"Chương trình nào cần thêm hai năm học?","một chương trình tiến sĩ"
"Có bao nhiêu bản trên toàn thế giới đã bán album 1995 của Queen?","20 triệu"
"Ai đã ra mắt như là điểm dừng bắt đầu vào đầu tháng 5 năm 2010?","Starlin Castro"
"Ai là tổng thống Tiệp Khắc trong quá trình giải thể Hiệp ước Warsaw?","Václav Havel"
"Đế chế nào gửi quà Han?","Parthian"
"Hoạt động tại Hoa Kỳ, Úc, Đức, Pháp và Vương quốc Anh là gì?","Trình diễn các dự án EGS"
"Jesse McReynold là một phần của?","Jim và Jesse"
"Một số alen có thể làm gì?","các đặc điểm kiểu hình khác nhau"
"Druze chiếm bao nhiêu phần trăm?","1,5%"
"Thành phố nào đã khiến chó nợ bất hợp pháp vào năm 2015?","The Hague"
"Những dãy núi nào tạo nên phần thú vị nhất của Bắc Carolina?","Dãy núi Appalachia"
"Toà án tối cao hạn chế đăng ký một số xe có động cơ 2000 cc trở lên cho đến ngày nào?","31 tháng 3 năm 2016"
"Các quốc gia khác có bong bóng nhà ở lớn đã xì hơi trong những năm nào?","1997 ,2002007"
"Schwarzenegger đã đầu tư vào chuỗi nhà hàng nào?","Planet Hollywood"
"Alexander đã yêu cầu ai khi chết?","được gọi là Athanasius"
"Trường hợp đã xây dựng Nhà thờ chính toà của mình ở đâu?","Kiev"
"Ai thực hiện cắn bình luận xã hội?","nhạc sĩ"
"Vào năm nào, Đế quốc Maratha đã bao phủ hầu hết các tiểu lục địa?","1760"
"Nhóm nào tin rằng một số người trong nhà thờ có địa vị đặc biệt để hiểu kinh thánh?","Công giáo"
"Thủ tướng được bầu bởi ai?","Nghị viện"
"Tuyên bố độc lập của các tỉnh từ Philip II được gọi là gì?","Đạo luật Huỷ bỏ"
"Nhà hát Lincoln ở trung tâm thành phố là gì?","một trong một số câu lạc bộ ở trung tâm thành phố Raleigh có lịch trình nhiều buổi hoà nhạc"
"Cùng với ẩm thực Nepal, Ấn Độ và Trung Quốc, ẩm thực nào đã là trọng tâm của các nhà hàng ở Kathmandu?","Tây Tạng"
"Trường hợp Bell chỉ ra rằng viên đạn quá sâu để máy của anh ta đăng ký?","chú thích"
"Isaac Backus đến từ vùng nào?","New England"
"Loài nào cho thấy sự khác biệt về kích thước, ngoại hình và hành động hơn bất kỳ loài nào khác?","Các giống chó hiện đại"
"Điều gì ngăn cách nhiều phân khúc của annelids?","vách ngăn"
"Nhà nước Nigeria nào đang cố gắng biến luật Sharia thành một phần của hiến pháp?","Kano"
"NHK lần đầu tiên phát triển truyền hình HD tiêu dùng vào năm nào với tỷ lệ 5: 3?","1979"
"Hạm đội tấn công bờ biển Bithynian lớn như thế nào cùng với các đồng minh Pechalan?","10.000 tàu"
"Ai xâm chiếm Tây Tạng?","gedei Khan"
"Khi nào BBC Nhật Bản đóng cửa?","tháng 4 năm 2006"
"Ai đã viết rằng nhánh lập pháp là nhánh chiếm ưu thế của chính phủ?","James Madison"
"Ngoài thuyền, St. Barts nhập khẩu thực phẩm như thế nào?","bằng máy bay"
"Những ý tưởng của Thời đại nào cho phép các tác phẩm của Estonia đạt được ý nghĩa?","Thời đại khai sáng"
"Dân số Thuỵ Sĩ là gì?","xấp xỉ 8 triệu"
"Vương quốc Anh đang nghĩ gì về việc lắp đặt căn cứ quân sự?","Oman"
"Bài hát nào mà Kanye mơ ước được biểu diễn trên VMAs?","""Stronger"""
"Cùng với xã hội học, ngôn ngữ học, lịch sử và khảo cổ học, lĩnh vực nào là một phần của nghiên cứu Somalia?","nhân chủng học"
"Chi phí giáo dục tiểu học và trung học ở Namibia là bao nhiêu?","miễn phí"
"Nhiều tổ chức sẽ để lại những gì bộ phận cơ thể miễn phí?","một cánh tay hoặc chân"
"Queen 'Greatest Hits II đã bán được bao nhiêu bản trên toàn thế giới?","16 triệu"
"Kanye đã chọn công nghệ thanh nhạc nào cho bộ nỗ lực nghệ thuật tiếp theo của mình?","Auto-Tune"
"Khi nước tạo ra các đại dương, điều gì đã xảy ra với hơi nước trong khí quyển?","Ngưng tụ"
"Androphilia được sử dụng để mô tả là gì?","sự hấp dẫn tình dục đối với nam tính"
"Tại sao tiền tố 'bài đăng' gây ra một chút tranh chấp vì nó liên quan đến các nhóm hậu-punk khác nhau?","có trước phong trào nhạc punk"
"Sự hiện diện của một dấu hiệu sinh học là gì?","hormone"
"Evlija Chelebija mang quốc tịch nào?","từ nhà đế"
"Tên là gì nếu ban nhạc có Chris Daughtry là ca sĩ chính của nó?","Daughtry"
"Thành phần chính nào đóng vai trò trong bệnh hen suyễn?","nhiều tế bào và các yếu tố tế bào đóng vai trò"
"Bao nhiêu phần trăm người Melburn chỉ nói tiếng Anh ở nhà?","68,1%"
"Trung đoàn nào đã thực hiện lực lượng quân đoàn tương ứng của họ từ thị trấn Saarbrücken?","Trung đoàn 40 của Sư đoàn 16 Bộ binh"
"Mối quan hệ quân sự giữa Ai Cập và Israel thay đổi như thế nào?","được cân bằng"
"Vào ngày nào thì thông báo rằng thủ đô của Ấn Độ sẽ được chuyển đến Delhi?","12 tháng 12 năm 1911"
"Số nào bạn có thể quay số từ bất kỳ điện thoại nào để biết thông tin giao thông công cộng ở San Diego?","511"
"Ai cai trị các phần phía nam của Estonia?","Anh em kiếm sống"
"Những cửa hàng nào đã bổ sung truyện tranh tìm thấy thành công trong?","Thế giới New York"
"halakha đại diện cho tư pháp chính thống là gì?","ý muốn của Thiên Chúa"
"Thương hiệu nào được thiết lập để hợp tác trong một dòng may mặc với Kanye?","Adidas"
"Cùng với Stewart, những gì công lý của Toà án tối cao quan tâm về sự chênh lệch chủng tộc trong thi hành án tử hình?","William O. Douglas"
"Khi nào thì nhân sự bắt đầu nghĩ đến việc sử dụng tia laser trong chiến đấu?","cuối những năm 1960"
"Sự rạn nứt trong kỷ Phấn trắng có kết quả gì trên các đại dương?","nâng mực nước biển mạnh mẽ"
"Những gì các quốc gia khác ngoài Ba Lan đã đánh bóng quý tộc rất có thể tìm thấy?","Litva"
"Năm 1989, Lầu Năm Góc có kế hoạch gì để giảm sức mạnh kết thúc của quân đội?","580"
"Đạo luật Regency năm 1830 là gì?","đã đưa ra điều khoản đặc biệt để Nữ công tước xứ Kent đóng vai nhiếp chính trong trường hợp William chết trong khi Victoria vẫn còn là trẻ vị thành niên."
"Tại địa điểm nào hầu hết dữ liệu thời tiết được thu thập cho khu vực Seattle?","Sân bay quốc tế Seattle, Tacoma"
"Có bao nhiêu người Houston sinh ra ở nước ngoài đến từ châu Á?","một trong năm"
"Trái ngược với thế kỷ 16 và 18, điều gì gây ra sự di cư trong thế kỷ 20?","đô thị hoá và chiến tranh"
"Từ nào có nghĩa đen là ""tổ tiên?""","Genetōr"
"Các nhà truyền giáo của Tổng thống Hàn Quốc đang được gửi qua biển là số thứ hai chỉ sau nước nào khác?","Hoa Kỳ"
"Một trong những vấn đề lớn với nền kinh tế vào tháng 11 năm 2008 là gì?","mất clo đạt tới 6 nghìn tỷ đô la tài sản nhà ở"
"Aọ có vô tính và tình dục những gì?","sinh sản"
"Tại sao không thể tạo tác từ các Phoenicia?","phần còn lại của sự hiện diện Phoenician trong thành phố rất ít và chủ yếu được bảo tồn tại trung tâm rất đông dân cư của khu vực trung tâm thành phố"
"Ai đã công bố Đạo luật Tiêu đề Hoàng gia năm 1876?","Disraeli"
"Nintendo đã xếp hạng các trò chơi như thế nào?","bằng cách sử dụng thang điểm 40"
"Sự tăng trưởng thương mại giữa Mỹ và Anh sau năm 1783 dường như khẳng định quan điểm của ai?","Smith"
"Từ nào đề cập đến kỳ kinh nguyệt đầu tiên ở nữ giới?","menarche"
"Ba loại hoạt động não có thể đo được là gì?","REM, NREM nhẹ và NREM sâu"
"Thư viện lớn thứ hai ở Pháp là gì?","Bibliothèque nationalale etiverseitaire"
"Phân khúc dân số nào được chủng ngừa lao ở các quốc gia như Canada với tỷ lệ nhiễm rất thấp?","nguy cơ cao"
"Các loại công cụ tài chính mà các chủ nợ và cơ quan quản lý khó theo dõi là gì?","các công cụ tài chính phức tạp"
"Những gì được tạo ra bởi nhiều hẻm núi và đồi trên khắp San Diego?","các túi nhỏ của không gian mở tự nhiên"
"Hy Lạp có gì lớn nhất ở Balkan?","nền kinh tế"
"Khi nào thì những quan điểm trái ngược với niềm tin về cha mẹ của Mary bị đánh sập?","1677, Toà Thánh đã lên án niềm tin rằng Mary được thụ thai đồng trinh,"
"Gaul hiện đang ở đâu?","Bỉ / Hà Lan và các khu vực lân cận"
"Mất bao lâu để thiết lập các cuộc thám hiểm định cư cho Tỉnh Carolina?","bảy năm"
"Đã bao nhiêu lần Argentoratum được xây dựng lại trong thế kỷ thứ nhất và thứ năm sau Công nguyên?","sáu lần"
"Phong cách của người Maya là gì?","một phong cách trang trí kiến ​​trúc Bồ Đào Nha xa hoa, tổng hợp của những thập kỷ đầu của thế kỷ 16"
"Các kỹ thuật thường được sử dụng trong quá trình thử nghiệm động là gì?","sơ khai / trình điều khiển hoặc thực thi từ môi trường trình gỡ lỗi"
"Nghiên cứu của tổ chức học tập cao hơn nào cho thấy hầu hết người dân New York đều hỗ trợ chia sẻ xe đạp?","Quinnipiac University"
"Điều gì sẽ xảy ra nếu một toà án cấp dưới từ chối duy trì luật hiến pháp?","đảo ngược rủi ro của Toà án Tối cao"
"Ai hợp tác với Ai Cập để xây dựng kênh đào Suez?","Pháp"
"Trong năm 2008, có bao nhiêu người đã đăng ký vào các trường công lập?","16.539"
"Điều gì đã xảy ra với Sandy Atlantic City một năm sau khi nó đóng cửa?","bị phá huỷ trong một vụ nổ kịch tính theo kiểu Las Vegas"
"Những đặc điểm nào mà một số nhà khoa học sử dụng chủng tộc để tạo ra sự khác biệt giữa các?","mờ"
"Trọng lực của sao Hải Vương ở 1 bar là gì?","11,15 m / s2"
"Các bộ lạc người Mỹ bản địa đã làm gì trong Chiến tranh Pontiac sau này?","; một cuộc xung đột sau đó, được gọi là Cuộc chiến của Pontiac, cũng không thành công trong việc đưa họ trở lại tình trạng trước chiến tranh."
"Dung lượng video của CD-V thường được sử dụng để làm gì?","video âm nhạc"
"Điều gì một bảng mạch với đồng nặng mang rất tốt?","hiện tại"
"Địa điểm nào là trọng tâm của sản xuất của Spectre Áo?","Ice Q Restaurant"
"Tên của anh trai Seleucus II, người mà anh ta đã chiến đấu trong cuộc nội chiến là gì?","Antiochus Hierax"
"Ở quốc gia Trung Đông nào có dân số Somalia đáng chú ý?","Các Tiểu vương quốc Ả Rập Thống nhất"
"Cái gì đã được sử dụng để có được ngọn đuốc qua sông Shing Mun?","một chiếc thuyền rồng"
"Stallman nghĩ bản quyền phục vụ như một mô hình quy định để làm gì?","báo in"
"Người Nhật đã tiến tới đâu?","Kohima ở Nagaland"
"Là nam và nữ dự kiến ​​sẽ thể hiện tình dục của họ theo cùng một cách hoặc có sự khác biệt giữa giới tính và văn hoá?","sự khác biệt"
"Cảm biến hồng ngoại thụ động phản ứng với cái gì?","thay đổi nhiệt"
"Ngày nào Hitler hoãn Chiến dịch Sư tử biển?","17 tháng 9"
"Thời gian bán huỷ của uranium-234 là gì?","2,48 × 105 năm"
"Điện áp chia sẻ hai loại tàu của hệ thống đường sắt Vương quốc Anh là gì?","660 V"
"Giới hạn thời gian để chỉ định một môi trường sống quan trọng của loài sau khi loài đã được thêm vào danh sách nguy cấp là gì?","trong vòng một năm"
"Adrenalize đứng đầu bảng xếp hạng album Mỹ trong bao lâu?","năm tuần"
"Tại sao Palermo tăng trưởng quy mô?","giảm tầm quan trọng của nông nghiệp trong nền kinh tế Sicilia đã dẫn đến một cuộc di cư lớn đến các thành phố"
"Bao lâu endospores của vi khuẩn có thể sống trong trạng thái không hoạt động?","trong hàng triệu năm"
"Điều gì đã ghi nhận nghệ sĩ và nhà văn đã đưa Daredevil lên hàng đầu trong những năm 1980?","Frank Miller"
"Nếu một con đường nằm ở phía tây Đại lộ Miami và phía bắc Phố Flagler, thì địa chỉ của nó là gì?","NW"
"Rosen cho rằng một phần trung tâm của sự độc đáo của Chopin là cách anh ta xử lý những gì?","cụm từ bốn thanh"
"Nhà sử học Hy Lạp nào đã đưa ra ký hiệu đó?","Thucydides"
"Trường hợp có sợi lanh có thể đã được sử dụng trong quần áo được tìm thấy?","một hang động thời tiền sử"
"Các đặc điểm cá nhân mà các cá nhân riêng biệt được gọi là gì?","danh tính cá nhân"
"Ai là một người đã thức tỉnh hoàn toàn, người đã thanh lọc tâm trí của mình về ba chất độc của dục vọng, ác cảm và vô minh?","một vị Phật"
"Khi nào Thuỵ Sĩ ký Nghị định thư Kyoto?","1998"
"Phương trình nào mô tả mật độ điện tích cho một mô hình lý tưởng của tụ điện?","± = ± Q / A"
"Ai đã bị trục xuất khỏi một nữ tu vì không muốn học?","Margarette Reglerin"
"Mexico đã đóng một phần trong cuộc chiến?","tham gia"
"Có bao nhiêu số có thể giữ một ô của bộ nhớ máy tính?","một số"
"Bản chất của nhân vật cơ bản của thực tế là gì?","Nhân vật"
"Ai là đối tác phát sóng quốc gia năm 2013 của AFL?","Mạng thể thao CBS"
"Có bao nhiêu người thường ở trong các dàn nhạc giáo viên-đại lý?","4-50 nhạc sĩ"
"Tên của một trong những nhà thờ cai trị dân số Kitô giáo là gì?","Nhà thờ Chính thống Hy Lạp"
"ITV Westcountry hợp nhất với kênh nào?","ITV West"
"Hệ thống ngân hàng bóng tối không thể cung cấp vốn cho các công ty thế chấp và các tập đoàn khác mà không có khả năng để có được quỹ nào?","quỹ nhà đầu tư"
"Ai đã thấy sự trung thành gia tăng từ những người lính La Mã?","tướng của họ"
"Vấn đề phải đối mặt với phát lại và cơ học ghi âm là gì?","giới hạn âm thanh"
"Điểm bắt đầu lịch sử nào được phát triển tại Mission San Diego?","El Camino Real"
"Khi nào Công ty Somer Isles tiếp quản quản lý Bermuda?","1615"
"Chủ tịch Quỹ Thế giới xanh đã từ chối tham gia tiếp sức là ai?","M.R. Narisa Chakrabongse"
"MCA đã tạo ra công ty gì vào năm 1964?","Universal City Studios, Inc."
"Ayaan Ali Khan và Manavjit Singh Sandhu đã nói gì không nên trộn lẫn?","thể thao và chính trị"
"Bất cứ ai đã nhận được tài trợ của liên bang dưới bất kỳ hình thức nào được yêu cầu phải thực hiện theo Sắc lệnh hành pháp?","tuân thủ chính sách của chính phủ về hành động khẳng định"
"Có một cuộc chiến giữa người Mexico và người Texas không?","đã chiến đấu trong một cuộc chiến tranh giành độc lập từ chính quyền trung ương Mexico"
"Sự gần gũi với quân đội thân thiện đòi hỏi gì ở những chiếc máy bay của Không quân Hoa Kỳ này?","các cuộc tấn công chính xác"
"Thế kỷ nào mà Liên minh cũ của tám quốc gia tồn tại cho đến khi?","cuối thế kỷ 15"
"Một kỹ thuật độc hại trong đó kẻ tấn công lừa người dùng nhấp vào nút hoặc liên kết là gì?","Clickjacking"
"Có bao nhiêu đơn vị phiên bản GameCube của Twilight Princess đã được mua vào cuối tháng 3 năm 2007?","1,32 triệu"
"Cơn bão nào đã tấn công Charleston năm 1989?","cơn bão Hugo"
"Hai chương trình phát sóng cụ thể bị đình chỉ trên Sky Digital là gì?","Scottish Premier League và bóng đá Cup Scotland"
"Những gì nhạc sĩ khác cho thấy có yếu tố của Chopin trong tác phẩm của mình?","Liszt"
"Làm thế nào để ấu trùng của ong bắp cày giết chết con mồi?","nuốt chửng các cơ quan nội tạng cho đến khi cuối cùng phá huỷ hệ thống thần kinh"
"Nhà sư Franciscan nào đã thúc đẩy nông dân chiến đấu chống lại người Hồi giáo tại Cuộc bao vây Belgrade?","Saint John of Capistrano"
"Mục đích chính của Sắc lệnh 11114 là gì?","phân biệt đối xử trong việc làm"
"Lịch của Lilius có kế hoạch giảm trong mỗi 400 năm?","số năm nhuận"
"Trong thời kỳ thống trị, nhiều người Hy Lạp không thể tương tác với vị trí trung tâm của nó?","Ottoman của Hy Lạp"
"Ngôn ngữ nào được nói ở Hoa Kỳ?","tiếng Anh là ngôn ngữ chính của kinh doanh, giáo dục, chính phủ, tôn giáo, truyền thông, văn hoá, xã hội dân sự và lĩnh vực công cộng."
"Có bao nhiêu thiết bị có thể được kết nối với bộ điều khiển máy chủ?","127 thiết bị"
"Khoang dạ dày thứ tư và cuối cùng trong động vật nhai lại là gì?","Abomasum"
"Bao nhiêu tiền lỗi ban đầu có giá trị cho người thu gom?","lợi nhuận"
"Thời đại trung bình của thành phố Atlantic là gì?","35 tuổi"
"Feyman đã nói gì với cả lớp rằng họ không được làm gì với chính mình?","tự lừa mình"
"Loại logic giải mã nào phổ biến trong các máy thu A / V thập niên 1990?","DTS"
"Định dạng mã hoá cho loại âm thanh nào?","kỹ thuật số"
"Quốc gia Caribbean nào nằm trong nhóm thứ tư hàng đầu của HDI (nhưng thiếu IHDI)?","ác"
"Người thân nào của Peck được đặt tên là Harper để vinh danh Lee?","cháu trai"
"Điều gì xảy ra tại triển lãm ngựa và gia súc quốc gia?","thể thao, triển lãm và các cuộc thi chăn nuôi"
"Có bao nhiêu galleys có sẵn vào cuối năm 1204?","50"
"Spinoza thuộc loại triết gia nào?","nhà duy lý"
"Crawford đã báo cáo những gì mà một số cố vấn của King nghĩ về Philip?","đủ tốt"
"Năm nào Estonia tổ chức Cuộc thi Ca khúc Eurovision?","2002"
